ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LAT,LONG
,463-00411,463-00410,1,Black,MS,N,N,SFMTA,ON,0,41,HAWTHORNE ST,6809000,MC5,Downtown,37.784871,-122.397991
,470-06321,470-06320,1,Black,MS,N,N,SFMTA,ON,0,632,HOWARD ST,7035000,MC5,Downtown,37.786385,-122.398889
,651-00146,651-00140,6,Black,MS,N,N,SFMTA,ON,0,14,SANSOME ST,11542000,MC5,Downtown,37.7907,-122.400569
,324-11061,324-11060,1,Black,MS,N,N,SFMTA,ON,0,1106,BATTERY ST,2767000,MC3, ,37.801601,-122.401579
,612-18200,-,0,Black,SS,N,N,SFMTA,ON,0,1820,POLK ST,10573000,MC3, ,37.793765,-122.421249
,400-02440,-,0,Black,SS,N,N,SFMTA,ON,0,244,EDDY ST,5060000,MC2, ,37.784022,-122.412429
,211-00051,211-00050,1,Black,MS,N,N,SFMTA,ON,0,5,11TH ST,508000,MC2, ,37.775453,-122.41838
,612-03440,612-03006,44,Black,MS,Y,N,SFMTA,ON,0,344,POLK ST,10549000,MC5,Civic Center,37.780022,-122.418414
,500-15331,500-15330,1,Black,MS,N,N,SFMTA,ON,0,1533,JACKSON ST,7395000,MC3, ,37.794166,-122.420809
,500-16190,-,0,Black,SS,N,N,SFMTA,ON,0,1619,JACKSON ST,7396000,MC3, ,37.794,-122.422113
,500-16210,-,0,Black,SS,N,N,SFMTA,ON,0,1621,JACKSON ST,7396000,MC3, ,37.793997,-122.422134
,701-18040,-,0,Black,SS,N,N,SFMTA,ON,0,1804,VAN NESS AVE,13160201,MC3, ,37.792419,-122.422582
,691-19100,-,0,Black,SS,N,N,SFMTA,ON,0,1910,UNION ST,12868000,MC3, ,37.797718,-122.431032
,423-01300,423-01004,30,Black,MS,Y,N,SFMTA,ON,0,130,FULTON ST,5881000,MC5,Civic Center,37.779863,-122.415648
,819-00200,819-00002,20,Black,MS,N,N,PORT,ON,0,20,BROADWAY,3142000,PortMC1, ,37.798978,-122.398567
